date,total_injured,total_killed
2012-07-01,128,0
2012-07-02,131,0
2012-07-03,167,0
2012-07-04,110,0
2012-07-05,110,0
2012-07-06,150,0
2012-07-07,106,0
2012-07-08,95,0
2012-07-09,113,0
2012-07-10,111,0
2012-07-11,122,0
2012-07-12,109,1
2012-07-13,140,0
2012-07-14,120,1
2012-07-15,108,0
2012-07-16,139,1
2012-07-17,135,0
2012-07-18,91,0
2012-07-19,110,0
2012-07-20,121,0
2012-07-21,110,0
2012-07-22,132,5
2012-07-23,114,0
2012-07-24,80,0
2012-07-25,140,0
2012-07-26,128,0
2012-07-27,127,0
2012-07-28,133,0
2012-07-29,80,0
2012-07-30,118,0
2012-07-31,102,0
2012-08-01,100,0
2012-08-02,120,0
2012-08-03,118,0
2012-08-04,106,0
2012-08-05,130,0
2012-08-06,107,0
2012-08-07,119,0
2012-08-08,111,1
2012-08-09,129,0
2012-08-10,135,0
2012-08-11,118,1
2012-08-12,117,0
2012-08-13,106,0
2012-08-14,112,0
2012-08-15,111,0
2012-08-16,117,0
2012-08-17,118,0
2012-08-18,107,0
2012-08-19,109,0
2012-08-20,107,0
2012-08-21,99,1
2012-08-22,117,0
2012-08-23,140,1
2012-08-24,114,0
2012-08-25,102,0
2012-08-26,110,0
2012-08-27,128,2
2012-08-28,104,0
2012-08-29,81,0
2012-08-30,137,0
2012-08-31,163,0
2012-09-01,108,0
2012-09-02,123,0
2012-09-03,102,0
2012-09-04,125,0
2012-09-05,128,1
2012-09-06,100,0
2012-09-07,146,0
2012-09-08,141,0
2012-09-09,105,0
2012-09-10,145,0
2012-09-11,93,0
2012-09-12,122,0
2012-09-13,139,0
2012-09-14,129,0
2012-09-15,120,1
2012-09-16,99,0
2012-09-17,78,1
2012-09-18,129,0
2012-09-19,118,0
2012-09-20,101,0
2012-09-21,163,0
2012-09-22,126,1
2012-09-23,113,0
2012-09-24,124,0
2012-09-25,143,0
2012-09-26,85,0
2012-09-27,117,0
2012-09-28,129,0
2012-09-29,98,0
2012-09-30,99,0
2012-10-01,123,0
2012-10-02,149,0
2012-10-03,94,0
2012-10-04,96,0
2012-10-05,141,0
2012-10-06,93,0
2012-10-07,146,0
2012-10-08,98,0
2012-10-09,115,1
2012-10-10,140,0
2012-10-11,116,0
2012-10-12,121,0
2012-10-13,112,0
2012-10-14,129,0
2012-10-15,116,0
2012-10-16,131,0
2012-10-17,121,0
2012-10-18,109,0
2012-10-19,145,0
2012-10-20,138,0
2012-10-21,93,0
2012-10-22,116,0
2012-10-23,95,0
2012-10-24,96,0
2012-10-25,126,0
2012-10-26,145,0
2012-10-27,114,1
2012-10-28,96,0
2012-10-29,52,0
2012-10-30,59,0
2012-10-31,92,0
2012-11-01,103,0
2012-11-02,64,0
2012-11-03,70,0
2012-11-04,66,0
2012-11-05,106,0
2012-11-06,96,0
2012-11-07,179,0
2012-11-08,79,0
2012-11-09,124,0
2012-11-10,85,0
2012-11-11,112,0
2012-11-12,100,0
2012-11-13,136,0
2012-11-14,101,1
2012-11-15,103,1
2012-11-16,106,0
2012-11-17,116,0
2012-11-18,89,1
2012-11-19,105,0
2012-11-20,140,1
2012-11-21,159,0
2012-11-22,82,0
2012-11-23,101,0
2012-11-24,102,0
2012-11-25,88,1
2012-11-26,129,0
2012-11-27,103,0
2012-11-28,90,0
2012-11-29,91,0
2012-11-30,99,0
2012-12-01,100,0
2012-12-02,92,0
2012-12-03,112,0
2012-12-04,136,0
2012-12-05,99,0
2012-12-06,116,0
2012-12-07,157,0
2012-12-08,139,1
2012-12-09,161,0
2012-12-10,121,0
2012-12-11,117,0
2012-12-12,114,0
2012-12-13,123,0
2012-12-14,124,0
2012-12-15,102,0
2012-12-16,131,2
2012-12-17,133,0
2012-12-18,111,0
2012-12-19,114,0
2012-12-20,122,0
2012-12-21,155,0
2012-12-22,97,0
2012-12-23,75,0
2012-12-24,119,1
2012-12-25,85,0
2012-12-26,111,0
2012-12-27,94,0
2012-12-28,104,1
2012-12-29,106,0
2012-12-30,104,0
2012-12-31,82,1
2013-01-01,124,0
2013-01-02,78,0
2013-01-03,103,0
2013-01-04,75,0
2013-01-05,94,4
2013-01-06,92,0
2013-01-07,118,0
2013-01-08,91,0
2013-01-09,90,0
2013-01-10,122,0
2013-01-11,160,0
2013-01-12,105,0
2013-01-13,87,0
2013-01-14,94,0
2013-01-15,81,0
2013-01-16,111,0
2013-01-17,109,0
2013-01-18,101,0
2013-01-19,84,0
2013-01-20,65,1
2013-01-21,70,0
2013-01-22,96,0
2013-01-23,76,0
2013-01-24,106,0
2013-01-25,123,0
2013-01-26,110,1
2013-01-27,102,0
2013-01-28,111,0
2013-01-29,113,0
2013-01-30,96,0
2013-01-31,96,0
2013-02-01,114,1
2013-02-02,113,0
2013-02-03,79,0
2013-02-04,92,0
2013-02-05,127,0
2013-02-06,103,1
2013-02-07,108,0
2013-02-08,113,0
2013-02-09,27,0
2013-02-10,50,0
2013-02-11,106,0
2013-02-12,84,0
2013-02-13,137,0
2013-02-14,102,0
2013-02-15,127,0
2013-02-16,92,0
2013-02-17,100,0
2013-02-18,69,0
2013-02-19,117,0
2013-02-20,70,0
2013-02-21,90,1
2013-02-22,97,0
2013-02-23,111,1
2013-02-24,85,1
2013-02-25,84,0
2013-02-26,101,0
2013-02-27,129,0
2013-02-28,91,0
2013-03-01,106,0
2013-03-02,107,0
2013-03-03,107,4
2013-03-04,109,0
2013-03-05,126,0
2013-03-06,86,0
2013-03-07,129,0
2013-03-08,139,0
2013-03-09,121,0
2013-03-10,88,0
2013-03-11,103,1
2013-03-12,113,0
2013-03-13,116,0
2013-03-14,103,0
2013-03-15,88,0
2013-03-16,123,0
2013-03-17,92,0
2013-03-18,85,0
2013-03-19,89,0
2013-03-20,101,0
2013-03-21,102,0
2013-03-22,118,0
2013-03-23,97,1
