,borough,neighborhood,year,vehicle,total_incidents,total_injured,total_killed,motorist_injured,motorist_killed,pedestrian_injured,pedestrian_killed,cyclist_injured,cyclist_killed
16448,Queens,Airport,2012,suv,7,7,0,7,0,0,0,0,0
16447,Queens,Airport,2012,passenger vehicle,3,3,0,2,0,1,0,0,0
16449,Queens,Airport,2013,passenger vehicle,11,11,0,11,0,0,0,0,0
16450,Queens,Airport,2013,suv,6,6,0,6,0,0,0,0,0
16451,Queens,Airport,2014,passenger vehicle,5,5,0,4,0,0,0,1,0
16452,Queens,Airport,2014,suv,1,1,0,1,0,0,0,0,0
16453,Queens,Airport,2015,passenger vehicle,4,4,0,4,0,0,0,0,0
16454,Queens,Airport,2015,suv,4,4,0,4,0,0,0,0,0
16455,Queens,Airport,2015,van,2,2,0,2,0,0,0,0,0
16457,Queens,Airport,2016,sedan,27,27,0,27,0,0,0,0,0
16458,Queens,Airport,2016,suv,12,12,0,12,0,0,0,0,0
16456,Queens,Airport,2016,concrete mixer,1,1,0,1,0,0,0,0,0
16459,Queens,Airport,2016,tractor,1,1,0,1,0,0,0,0,0
16460,Queens,Airport,2017,sedan,33,33,0,33,0,0,0,0,0
16461,Queens,Airport,2017,suv,30,30,0,30,0,0,0,0,0
16463,Queens,Airport,2017,truck,2,2,0,2,0,0,0,0,0
16462,Queens,Airport,2017,tractor,1,1,0,1,0,0,0,0,0
16464,Queens,Airport,2018,sedan,41,40,1,40,1,0,0,0,0
16465,Queens,Airport,2018,suv,33,33,0,33,0,0,0,0,0
16467,Queens,Airport,2018,truck,5,5,0,5,0,0,0,0,0
16466,Queens,Airport,2018,taxi,1,1,0,1,0,0,0,0,0
16469,Queens,Airport,2019,sedan,39,38,1,37,0,0,0,1,1
16470,Queens,Airport,2019,suv,31,31,0,30,0,1,0,0,0
16468,Queens,Airport,2019,garbage truck,3,3,0,3,0,0,0,0,0
16471,Queens,Airport,2019,tractor,1,1,0,1,0,0,0,0,0
16473,Queens,Airport,2020,sedan,22,22,0,22,0,0,0,0,0
16474,Queens,Airport,2020,suv,16,16,0,16,0,0,0,0,0
16475,Queens,Airport,2020,tractor,7,7,0,7,0,0,0,0,0
16472,Queens,Airport,2020,bus,2,2,0,2,0,0,0,0,0
16476,Queens,Airport,2020,truck,1,1,0,1,0,0,0,0,0
16478,Queens,Airport,2021,sedan,39,37,2,37,2,0,0,0,0
16479,Queens,Airport,2021,suv,13,13,0,13,0,0,0,0,0
16480,Queens,Airport,2021,truck,5,5,0,5,0,0,0,0,0
16477,Queens,Airport,2021,flat bed,4,4,0,4,0,0,0,0,0
16483,Queens,Airport,2022,sedan,20,20,0,20,0,0,0,0,0
16484,Queens,Airport,2022,suv,11,11,0,11,0,0,0,0,0
16485,Queens,Airport,2022,taxi,2,2,0,2,0,0,0,0,0
16486,Queens,Airport,2022,tractor,2,2,0,2,0,0,0,0,0
16481,Queens,Airport,2022,carry all,1,1,0,1,0,0,0,0,0
16482,Queens,Airport,2022,garbage truck,1,1,0,1,0,0,0,0,0
16489,Queens,Airport,2023,sedan,31,31,0,30,0,1,0,0,0
16490,Queens,Airport,2023,suv,23,22,1,21,1,1,0,0,0
16488,Queens,Airport,2023,bus,2,2,0,2,0,0,0,0,0
16487,Queens,Airport,2023,bike,1,1,0,0,0,0,0,1,0
16491,Queens,Airport,2023,taxi,1,1,0,1,0,0,0,0,0
