,borough,year,month,vehicle,total_injured,total_killed,pedestrians_injured,pedestrians_killed,cyclist_injured,cyclist_killed,motorist_injured,motorist_killed
0,Bronx,2012,7,delivery vehicle,25,0,3,0,1,0,21,0
1,Bronx,2012,7,other,73,0,17,0,7,0,49,0
2,Bronx,2012,7,passenger vehicle,321,2,63,0,23,0,235,2
3,Bronx,2012,7,suv,85,1,15,1,6,0,64,0
4,Bronx,2012,7,taxi,15,0,3,0,0,0,12,0
5,Bronx,2012,7,van,29,0,9,0,1,0,19,0
6,Bronx,2012,8,delivery vehicle,17,0,5,0,0,0,12,0
7,Bronx,2012,8,other,50,0,14,0,12,0,24,0
8,Bronx,2012,8,passenger vehicle,283,2,58,0,17,0,208,2
9,Bronx,2012,8,suv,95,0,18,0,4,0,73,0
10,Bronx,2012,8,taxi,10,0,5,0,2,0,3,0
11,Bronx,2012,8,van,11,0,2,0,1,0,8,0
12,Bronx,2012,9,delivery vehicle,21,0,7,0,0,0,14,0
13,Bronx,2012,9,other,69,0,20,0,3,0,46,0
14,Bronx,2012,9,passenger vehicle,263,0,62,0,24,0,177,0
15,Bronx,2012,9,suv,83,0,24,0,4,0,55,0
16,Bronx,2012,9,taxi,19,0,4,0,1,0,14,0
17,Bronx,2012,9,van,9,0,4,0,1,0,4,0
18,Bronx,2012,10,delivery vehicle,17,0,5,0,0,0,12,0
19,Bronx,2012,10,other,59,0,23,0,2,0,34,0
20,Bronx,2012,10,passenger vehicle,288,1,57,0,14,0,217,1
21,Bronx,2012,10,suv,78,0,23,0,4,0,51,0
22,Bronx,2012,10,taxi,9,0,2,0,0,0,7,0
23,Bronx,2012,10,van,11,0,4,0,0,0,7,0
24,Bronx,2012,11,delivery vehicle,13,0,5,0,1,0,7,0
25,Bronx,2012,11,other,67,0,27,0,3,0,37,0
26,Bronx,2012,11,passenger vehicle,260,0,68,0,8,0,184,0
27,Bronx,2012,11,suv,46,0,19,0,0,0,27,0
28,Bronx,2012,11,taxi,15,0,6,0,0,0,9,0
29,Bronx,2012,11,van,15,0,5,0,0,0,10,0
30,Bronx,2012,12,delivery vehicle,38,0,9,0,1,0,28,0
31,Bronx,2012,12,other,53,0,29,0,2,0,22,0
32,Bronx,2012,12,passenger vehicle,291,0,95,0,8,0,188,0
33,Bronx,2012,12,suv,115,0,35,0,2,0,78,0
34,Bronx,2012,12,taxi,14,0,3,0,2,0,9,0
35,Bronx,2012,12,van,11,0,5,0,1,0,5,0
36,Bronx,2013,1,delivery vehicle,21,0,4,0,0,0,17,0
37,Bronx,2013,1,other,56,0,28,0,0,0,28,0
38,Bronx,2013,1,passenger vehicle,230,1,67,1,5,0,158,0
39,Bronx,2013,1,suv,95,0,25,0,3,0,67,0
40,Bronx,2013,1,taxi,7,0,5,0,0,0,2,0
41,Bronx,2013,1,van,26,0,6,0,0,0,20,0
42,Bronx,2013,2,delivery vehicle,23,0,3,0,1,0,19,0
43,Bronx,2013,2,other,72,0,32,0,2,0,38,0
44,Bronx,2013,2,passenger vehicle,248,0,59,0,5,0,184,0
45,Bronx,2013,2,suv,94,0,31,0,0,0,63,0
46,Bronx,2013,2,taxi,16,0,5,0,0,0,11,0
47,Bronx,2013,2,van,15,0,7,0,0,0,8,0
48,Bronx,2013,3,delivery vehicle,22,0,8,0,1,0,13,0
49,Bronx,2013,3,other,60,0,26,0,1,0,33,0
50,Bronx,2013,3,passenger vehicle,280,0,75,0,7,0,198,0
51,Bronx,2013,3,suv,87,0,28,0,3,0,56,0
52,Bronx,2013,3,taxi,15,0,5,0,1,0,9,0
53,Bronx,2013,3,van,18,0,7,0,0,0,11,0
54,Bronx,2013,4,delivery vehicle,20,0,1,0,0,0,19,0
55,Bronx,2013,4,other,63,0,27,0,3,0,33,0
56,Bronx,2013,4,passenger vehicle,286,0,80,0,14,0,192,0
57,Bronx,2013,4,suv,107,0,17,0,4,0,86,0
58,Bronx,2013,4,taxi,15,0,4,0,1,0,10,0
59,Bronx,2013,4,van,13,0,4,0,1,0,8,0
60,Bronx,2013,5,delivery vehicle,17,0,4,0,0,0,13,0
61,Bronx,2013,5,other,96,0,34,0,8,0,54,0
62,Bronx,2013,5,passenger vehicle,289,0,72,0,15,0,202,0
63,Bronx,2013,5,suv,147,1,32,1,0,0,115,0
64,Bronx,2013,5,taxi,10,0,4,0,2,0,4,0
65,Bronx,2013,5,van,14,0,3,0,1,0,10,0
66,Bronx,2013,6,delivery vehicle,28,0,5,0,3,0,20,0
67,Bronx,2013,6,other,96,0,28,0,5,0,63,0
68,Bronx,2013,6,passenger vehicle,326,1,52,1,27,0,247,0
69,Bronx,2013,6,suv,86,0,27,0,7,0,52,0
70,Bronx,2013,6,taxi,19,1,13,0,2,0,4,1
71,Bronx,2013,6,van,19,0,6,0,1,0,12,0
72,Bronx,2013,7,delivery vehicle,24,0,2,0,3,0,19,0
73,Bronx,2013,7,other,79,0,18,0,8,0,53,0
74,Bronx,2013,7,passenger vehicle,343,0,60,0,28,0,255,0
75,Bronx,2013,7,suv,123,0,22,0,6,0,95,0
76,Bronx,2013,7,taxi,18,0,7,0,0,0,11,0
77,Bronx,2013,7,van,16,0,4,0,3,0,9,0
78,Bronx,2013,8,delivery vehicle,21,0,6,0,0,0,15,0
79,Bronx,2013,8,other,61,0,23,0,11,0,27,0
80,Bronx,2013,8,passenger vehicle,295,0,63,0,20,0,212,0
81,Bronx,2013,8,suv,93,0,20,0,13,0,60,0
82,Bronx,2013,8,taxi,14,0,4,0,1,0,9,0
83,Bronx,2013,8,van,15,0,3,0,1,0,11,0
84,Bronx,2013,9,delivery vehicle,18,0,2,0,1,0,15,0
85,Bronx,2013,9,other,96,0,29,0,4,0,63,0
86,Bronx,2013,9,passenger vehicle,337,0,81,0,23,0,233,0
87,Bronx,2013,9,suv,91,0,20,0,5,0,66,0
88,Bronx,2013,9,taxi,19,0,3,0,2,0,14,0
89,Bronx,2013,9,van,16,0,6,0,1,0,9,0
90,Bronx,2013,10,delivery vehicle,23,0,6,0,0,0,17,0
91,Bronx,2013,10,other,80,0,25,0,5,0,50,0
92,Bronx,2013,10,passenger vehicle,297,0,83,0,10,0,204,0
93,Bronx,2013,10,suv,109,0,33,0,6,0,70,0
94,Bronx,2013,10,taxi,14,0,2,0,1,0,11,0
95,Bronx,2013,10,van,5,0,1,0,0,0,4,0
96,Bronx,2013,11,delivery vehicle,18,0,8,0,1,0,9,0
97,Bronx,2013,11,other,67,0,30,0,0,0,37,0
98,Bronx,2013,11,passenger vehicle,297,0,71,0,2,0,224,0
99,Bronx,2013,11,suv,113,1,30,1,5,0,78,0
100,Bronx,2013,11,taxi,19,0,5,0,1,0,13,0
101,Bronx,2013,11,van,19,0,8,0,1,0,10,0
102,Bronx,2013,12,delivery vehicle,5,0,3,0,0,0,2,0
103,Bronx,2013,12,other,93,1,36,0,0,0,57,1
104,Bronx,2013,12,passenger vehicle,270,0,81,0,7,0,182,0
105,Bronx,2013,12,suv,83,0,34,0,1,0,48,0
106,Bronx,2013,12,taxi,17,0,3,0,1,0,13,0
107,Bronx,2013,12,van,10,0,3,0,0,0,7,0
108,Bronx,2014,1,delivery vehicle,29,0,6,0,0,0,23,0
109,Bronx,2014,1,other,56,0,27,0,0,0,29,0
110,Bronx,2014,1,passenger vehicle,239,0,62,0,3,0,174,0
111,Bronx,2014,1,suv,129,0,30,0,3,0,96,0
112,Bronx,2014,1,taxi,7,0,3,0,0,0,4,0
113,Bronx,2014,1,van,16,0,4,0,0,0,12,0
114,Bronx,2014,2,delivery vehicle,5,0,0,0,0,0,5,0
115,Bronx,2014,2,other,68,0,28,0,1,0,39,0
116,Bronx,2014,2,passenger vehicle,164,0,47,0,2,0,115,0
117,Bronx,2014,2,suv,66,0,18,0,1,0,47,0
118,Bronx,2014,2,taxi,21,0,3,0,0,0,18,0
119,Bronx,2014,2,van,5,0,0,0,0,0,5,0
120,Bronx,2014,3,delivery vehicle,16,0,2,0,0,0,14,0
121,Bronx,2014,3,other,74,0,28,0,1,0,45,0
122,Bronx,2014,3,passenger vehicle,227,0,60,0,6,0,161,0
123,Bronx,2014,3,suv,89,0,32,0,3,0,54,0
124,Bronx,2014,3,taxi,11,0,1,0,1,0,9,0
125,Bronx,2014,3,van,13,0,4,0,0,0,9,0
126,Bronx,2014,4,delivery vehicle,18,0,3,0,1,0,14,0
127,Bronx,2014,4,other,78,0,30,0,5,0,43,0
128,Bronx,2014,4,passenger vehicle,223,2,58,1,11,0,154,1
129,Bronx,2014,4,suv,84,0,32,0,2,0,50,0
130,Bronx,2014,4,taxi,8,0,2,0,1,0,5,0
131,Bronx,2014,4,van,8,0,2,0,1,0,5,0
132,Bronx,2014,5,delivery vehicle,12,0,3,0,3,0,6,0
133,Bronx,2014,5,other,100,0,24,0,8,0,68,0
134,Bronx,2014,5,passenger vehicle,289,0,59,0,18,0,212,0
135,Bronx,2014,5,suv,132,0,36,0,9,0,87,0
136,Bronx,2014,5,taxi,22,0,4,0,0,0,18,0
137,Bronx,2014,5,van,10,0,3,0,1,0,6,0
138,Bronx,2014,6,delivery vehicle,19,0,3,0,1,0,15,0
139,Bronx,2014,6,other,110,0,25,0,14,0,71,0
140,Bronx,2014,6,passenger vehicle,343,0,77,0,28,0,238,0
141,Bronx,2014,6,suv,144,0,27,0,8,0,109,0
142,Bronx,2014,6,taxi,12,0,1,0,1,0,10,0
143,Bronx,2014,6,van,8,0,6,0,0,0,2,0
144,Bronx,2014,7,delivery vehicle,24,0,3,0,3,0,18,0
145,Bronx,2014,7,other,83,0,28,0,6,0,49,0
146,Bronx,2014,7,passenger vehicle,295,0,58,0,27,0,210,0
