,year,month,weekday,total,pedestrian,motorist,cyclist
0,2012,Aug,Mon,2,0,2,0
1,2012,Aug,Tue,1,0,1,0
2,2012,Aug,Wed,1,0,1,0
3,2012,Aug,Thu,1,1,0,0
4,2012,Aug,Fri,0,0,0,0
5,2012,Aug,Sat,1,0,1,0
6,2012,Aug,Sun,0,0,0,0
7,2012,Dec,Mon,2,1,1,0
8,2012,Dec,Tue,0,0,0,0
9,2012,Dec,Wed,0,0,0,0
10,2012,Dec,Thu,0,0,0,0
11,2012,Dec,Fri,1,0,1,0
12,2012,Dec,Sat,1,1,0,0
13,2012,Dec,Sun,2,0,2,0
14,2012,Jul,Mon,1,0,1,0
15,2012,Jul,Tue,0,0,0,0
16,2012,Jul,Wed,0,0,0,0
17,2012,Jul,Thu,1,0,1,0
18,2012,Jul,Fri,0,0,0,0
19,2012,Jul,Sat,1,1,0,0
20,2012,Jul,Sun,5,0,5,0
21,2012,Nov,Mon,0,0,0,0
22,2012,Nov,Tue,1,0,1,0
23,2012,Nov,Wed,1,0,1,0
24,2012,Nov,Thu,1,1,0,0
25,2012,Nov,Fri,0,0,0,0
26,2012,Nov,Sat,0,0,0,0
27,2012,Nov,Sun,2,1,1,0
28,2012,Oct,Mon,0,0,0,0
29,2012,Oct,Tue,1,0,1,0
30,2012,Oct,Wed,0,0,0,0
31,2012,Oct,Thu,0,0,0,0
32,2012,Oct,Fri,0,0,0,0
33,2012,Oct,Sat,1,0,1,0
34,2012,Oct,Sun,0,0,0,0
35,2012,Sep,Mon,1,0,1,0
36,2012,Sep,Tue,0,0,0,0
37,2012,Sep,Wed,1,1,0,0
38,2012,Sep,Thu,0,0,0,0
39,2012,Sep,Fri,0,0,0,0
40,2012,Sep,Sat,2,2,0,0
41,2012,Sep,Sun,0,0,0,0
42,2013,Apr,Mon,0,0,0,0
43,2013,Apr,Tue,1,1,0,0
44,2013,Apr,Wed,2,2,0,0
45,2013,Apr,Thu,0,0,0,0
46,2013,Apr,Fri,0,0,0,0
47,2013,Apr,Sat,0,0,0,0
48,2013,Apr,Sun,0,0,0,0
49,2013,Aug,Mon,0,0,0,0
50,2013,Aug,Tue,0,0,0,0
51,2013,Aug,Wed,1,0,1,0
52,2013,Aug,Thu,3,0,3,0
53,2013,Aug,Fri,2,1,1,0
54,2013,Aug,Sat,3,0,3,0
55,2013,Aug,Sun,0,0,0,0
56,2013,Dec,Mon,0,0,0,0
57,2013,Dec,Tue,1,0,1,0
58,2013,Dec,Wed,0,0,0,0
59,2013,Dec,Thu,0,0,0,0
60,2013,Dec,Fri,1,1,0,0
61,2013,Dec,Sat,2,0,2,0
62,2013,Dec,Sun,0,0,0,0
63,2013,Feb,Mon,0,0,0,0
64,2013,Feb,Tue,0,0,0,0
65,2013,Feb,Wed,1,0,1,0
66,2013,Feb,Thu,1,1,0,0
67,2013,Feb,Fri,1,1,0,0
68,2013,Feb,Sat,1,0,1,0
69,2013,Feb,Sun,1,1,0,0
70,2013,Jan,Mon,0,0,0,0
71,2013,Jan,Tue,0,0,0,0
72,2013,Jan,Wed,0,0,0,0
73,2013,Jan,Thu,0,0,0,0
74,2013,Jan,Fri,0,0,0,0
75,2013,Jan,Sat,5,2,3,0
76,2013,Jan,Sun,1,1,0,0
77,2013,Jul,Mon,0,0,0,0
78,2013,Jul,Tue,1,0,1,0
79,2013,Jul,Wed,0,0,0,0
80,2013,Jul,Thu,0,0,0,0
81,2013,Jul,Fri,0,0,0,0
82,2013,Jul,Sat,0,0,0,0
83,2013,Jul,Sun,2,0,2,0
84,2013,Jun,Mon,2,2,0,0
85,2013,Jun,Tue,2,1,1,0
86,2013,Jun,Wed,0,0,0,0
87,2013,Jun,Thu,0,0,0,0
88,2013,Jun,Fri,0,0,0,0
89,2013,Jun,Sat,0,0,0,0
90,2013,Jun,Sun,0,0,0,0
91,2013,Mar,Mon,1,1,0,0
92,2013,Mar,Tue,0,0,0,0
93,2013,Mar,Wed,0,0,0,0
94,2013,Mar,Thu,0,0,0,0
95,2013,Mar,Fri,0,0,0,0
96,2013,Mar,Sat,1,1,0,0
97,2013,Mar,Sun,4,0,4,0
98,2013,May,Mon,0,0,0,0
99,2013,May,Tue,0,0,0,0
100,2013,May,Wed,0,0,0,0
101,2013,May,Thu,0,0,0,0
102,2013,May,Fri,1,1,0,0
103,2013,May,Sat,0,0,0,0
104,2013,May,Sun,0,0,0,0
105,2013,Nov,Mon,3,3,0,0
106,2013,Nov,Tue,3,2,1,0
107,2013,Nov,Wed,1,1,0,0
108,2013,Nov,Thu,0,0,0,0
109,2013,Nov,Fri,0,0,0,0
110,2013,Nov,Sat,3,1,2,0
111,2013,Nov,Sun,0,0,0,0
112,2013,Oct,Mon,0,0,0,0
113,2013,Oct,Tue,1,0,1,0
