,borough,year,time_bin,total_injured,total_killed,pedestrians_injured,pedestrians_killed,cyclist_injured,cyclist_killed,motorist_injured,motorist_killed
0,BRONX,2012,00:00 - 00:59,1.3,0.0,0.3,0.0,0.0,0.0,1.0,0.0
1,BRONX,2012,01:00 - 01:59,1.7,0.0,0.2,0.0,0.0,0.0,1.4,0.0
2,BRONX,2012,02:00 - 02:59,1.5,0.0,0.2,0.0,0.1,0.0,1.3,0.0
3,BRONX,2012,03:00 - 03:59,1.4,0.0,0.3,0.0,0.1,0.0,1.0,0.0
4,BRONX,2012,04:00 - 04:59,1.5,0.0,0.3,0.0,0.0,0.0,1.2,0.0
5,BRONX,2012,05:00 - 05:59,1.3,0.0,0.3,0.0,0.0,0.0,1.0,0.0
6,BRONX,2012,06:00 - 06:59,1.2,0.0,0.4,0.0,0.1,0.0,0.7,0.0
7,BRONX,2012,07:00 - 07:59,1.3,0.0,0.4,0.0,0.0,0.0,0.9,0.0
8,BRONX,2012,08:00 - 08:59,1.5,0.0,0.4,0.0,0.0,0.0,1.0,0.0
9,BRONX,2012,09:00 - 09:59,1.3,0.0,0.3,0.0,0.0,0.0,1.0,0.0
10,BRONX,2012,10:00 - 10:59,1.4,0.0,0.3,0.0,0.1,0.0,1.0,0.0
11,BRONX,2012,11:00 - 11:59,1.3,0.0,0.3,0.0,0.1,0.0,0.9,0.0
12,BRONX,2012,12:00 - 12:59,1.3,0.0,0.4,0.0,0.1,0.0,0.9,0.0
13,BRONX,2012,13:00 - 13:59,1.6,0.0,0.3,0.0,0.0,0.0,1.3,0.0
14,BRONX,2012,14:00 - 14:59,1.5,0.0,0.3,0.0,0.1,0.0,1.2,0.0
15,BRONX,2012,15:00 - 15:59,1.3,0.0,0.4,0.0,0.1,0.0,0.8,0.0
16,BRONX,2012,16:00 - 16:59,1.5,0.0,0.4,0.0,0.1,0.0,1.0,0.0
17,BRONX,2012,17:00 - 17:59,1.3,0.0,0.4,0.0,0.1,0.0,0.8,0.0
18,BRONX,2012,18:00 - 18:59,1.4,0.0,0.4,0.0,0.1,0.0,0.8,0.0
19,BRONX,2012,19:00 - 19:59,1.4,0.0,0.4,0.0,0.1,0.0,0.9,0.0
20,BRONX,2012,20:00 - 20:59,1.4,0.0,0.4,0.0,0.1,0.0,0.9,0.0
21,BRONX,2012,21:00 - 21:59,1.3,0.0,0.4,0.0,0.2,0.0,0.7,0.0
22,BRONX,2012,22:00 - 22:59,1.3,0.0,0.3,0.0,0.1,0.0,0.9,0.0
23,BRONX,2012,23:00 - 23:59,1.6,0.0,0.3,0.0,0.1,0.0,1.2,0.0
24,BRONX,2013,00:00 - 00:59,1.4,0.0,0.3,0.0,0.1,0.0,1.0,0.0
25,BRONX,2013,01:00 - 01:59,1.5,0.0,0.3,0.0,0.0,0.0,1.1,0.0
26,BRONX,2013,02:00 - 02:59,1.5,0.0,0.3,0.0,0.0,0.0,1.2,0.0
27,BRONX,2013,03:00 - 03:59,1.7,0.0,0.2,0.0,0.0,0.0,1.4,0.0
28,BRONX,2013,04:00 - 04:59,1.5,0.0,0.2,0.0,0.0,0.0,1.3,0.0
29,BRONX,2013,05:00 - 05:59,1.6,0.0,0.1,0.0,0.1,0.0,1.4,0.0
30,BRONX,2013,06:00 - 06:59,1.4,0.0,0.3,0.0,0.0,0.0,1.0,0.0
31,BRONX,2013,07:00 - 07:59,1.4,0.0,0.4,0.0,0.1,0.0,0.9,0.0
32,BRONX,2013,08:00 - 08:59,1.4,0.0,0.4,0.0,0.0,0.0,1.0,0.0
33,BRONX,2013,09:00 - 09:59,1.3,0.0,0.3,0.0,0.1,0.0,0.9,0.0
34,BRONX,2013,10:00 - 10:59,1.4,0.0,0.3,0.0,0.0,0.0,1.0,0.0
35,BRONX,2013,11:00 - 11:59,1.3,0.0,0.4,0.0,0.1,0.0,0.9,0.0
36,BRONX,2013,12:00 - 12:59,1.3,0.0,0.3,0.0,0.1,0.0,0.9,0.0
37,BRONX,2013,13:00 - 13:59,1.5,0.0,0.3,0.0,0.1,0.0,1.1,0.0
38,BRONX,2013,14:00 - 14:59,1.5,0.0,0.4,0.0,0.0,0.0,1.1,0.0
39,BRONX,2013,15:00 - 15:59,1.3,0.0,0.4,0.0,0.1,0.0,0.9,0.0
40,BRONX,2013,16:00 - 16:59,1.4,0.0,0.4,0.0,0.1,0.0,1.0,0.0
41,BRONX,2013,17:00 - 17:59,1.4,0.0,0.4,0.0,0.1,0.0,0.9,0.0
42,BRONX,2013,18:00 - 18:59,1.3,0.0,0.4,0.0,0.1,0.0,0.8,0.0
43,BRONX,2013,19:00 - 19:59,1.3,0.0,0.4,0.0,0.1,0.0,0.8,0.0
44,BRONX,2013,20:00 - 20:59,1.3,0.0,0.4,0.0,0.1,0.0,0.8,0.0
45,BRONX,2013,21:00 - 21:59,1.3,0.0,0.4,0.0,0.1,0.0,0.8,0.0
46,BRONX,2013,22:00 - 22:59,1.5,0.0,0.3,0.0,0.1,0.0,1.1,0.0
47,BRONX,2013,23:00 - 23:59,1.4,0.0,0.3,0.0,0.1,0.0,1.1,0.0
48,BRONX,2014,00:00 - 00:59,1.5,0.0,0.4,0.0,0.1,0.0,1.0,0.0
49,BRONX,2014,01:00 - 01:59,1.4,0.0,0.2,0.0,0.1,0.0,1.1,0.0
50,BRONX,2014,02:00 - 02:59,1.5,0.0,0.1,0.0,0.0,0.0,1.3,0.0
51,BRONX,2014,03:00 - 03:59,1.5,0.0,0.2,0.0,0.0,0.0,1.2,0.0
52,BRONX,2014,04:00 - 04:59,1.5,0.0,0.3,0.0,0.1,0.0,1.1,0.0
53,BRONX,2014,05:00 - 05:59,1.6,0.0,0.3,0.0,0.0,0.0,1.3,0.0
54,BRONX,2014,06:00 - 06:59,1.3,0.0,0.3,0.0,0.0,0.0,0.9,0.0
